สถานที่	หลักการเหตุผลเชิงพื้นที่ (เชื่อมโยงหมู่บ้าน)
ศูนย์พัฒนาเด็กเล็กบ้านหนองหงษ์	"จุดนี้เป็นแนวเฝ้าระวังของ ต.แก่งกระจาน อ.แก่งกระจาน เนื่องจากพื้นที่เชิงเขาและต้นน้ำของลุ่มน้ำเพชรบุรี มีลำห้วยจากแนวเทือกเขาตะนาวศรีไหลลงสู่ระบบแม่น้ำเพชรบุรี เมื่อมีฝนตกต่อเนื่องอาจเกิดฝนตกหนัก น้ำท่วมขัง และน้ำหลาก. ประกอบกับข้อมูลรายชื่อหมู่บ้านประกาศภัยระดับตำบลพบหมู่บ้านที่อยู่ในกลุ่มความเสี่ยงสูงหรือความเสี่ยงสูงมาก ได้แก่ พุบอน

จากลักษณะทางกายภาพและข้อมูลพื้นที่ที่มีการประกาศภัยดังกล่าว จึงมีความเหมาะสมในการติดตั้งสถานีวัดฝน เพื่อเฝ้าระวังปริมาณฝนเฉพาะพื้นที่ ติดตามฝนสะสม สนับสนุนการประเมินสถานการณ์ และการแจ้งเตือนภัยสำหรับชุมชนและพื้นที่ใกล้เคียง"
วัดยางชุม	"บริเวณ วัดยางชุม อยู่ในพื้นที่รอยต่อเชิงเขากับพื้นที่ราบของ ต.กลัดหลวง อ.ท่ายาง โดยพื้นที่ราบเชิงเขาด้านท้ายน้ำของลุ่มน้ำเพชรบุรี รับน้ำจากพื้นที่สูงก่อนเข้าสู่ที่ราบเกษตร ลักษณะพื้นที่ทำให้ปริมาณฝนสัมพันธ์โดยตรงกับการเกิดฝนตกหนัก น้ำท่วมขัง และน้ำหลาก. ประกอบกับข้อมูลรายชื่อหมู่บ้านประกาศภัยระดับตำบลพบหมู่บ้านที่อยู่ในกลุ่มความเสี่ยงสูงหรือความเสี่ยงสูงมาก ได้แก่ สารเห็ด  กลัดหลวง  วังมะละกอ

จากลักษณะทางกายภาพและข้อมูลพื้นที่ที่มีการประกาศภัยดังกล่าว จึงมีความเหมาะสมในการติดตั้งสถานีวัดฝน เพื่อเฝ้าระวังปริมาณฝนเฉพาะพื้นที่ ติดตามฝนสะสม สนับสนุนการประเมินสถานการณ์ และการแจ้งเตือนภัยสำหรับชุมชนและพื้นที่ใกล้เคียง"
องค์การบริหารส่วนตำบลไร่โคก	"พื้นที่ ต.ไร่โคก อ.บ้านลาด เป็นพื้นที่ราบลุ่ม มีลำน้ำและลำห้วยธรรมชาติ รวมทั้งคลองชลประทานทำหน้าที่รับและระบายน้ำจากพื้นที่โดยรอบ เมื่อเกิดฝนตกหนักต่อเนื่อง น้ำสามารถสะสมในพื้นที่ต่ำและระบายผ่านโครงข่ายคลองเข้าสู่พื้นที่เกษตรและชุมชน ส่งผลให้มีความเสี่ยงต่อน้ำท่วมขังและน้ำหลากเฉพาะพื้นที่. ประกอบกับข้อมูลรายชื่อหมู่บ้านประกาศภัยระดับตำบลพบหมู่บ้านที่อยู่ในกลุ่มความเสี่ยงสูงหรือความเสี่ยงสูงมาก ได้แก่ กรวย  ไร่สนาม  นากระแสร

จากลักษณะทางกายภาพและข้อมูลพื้นที่ที่มีการประกาศภัยดังกล่าว จึงมีความเหมาะสมในการติดตั้งสถานีวัดฝน เพื่อเฝ้าระวังปริมาณฝนเฉพาะพื้นที่ ติดตามฝนสะสม สนับสนุนการประเมินสถานการณ์ และการแจ้งเตือนภัยสำหรับชุมชนและพื้นที่ใกล้เคียง"
สนามฟุตซอล บ้านยางน้ำกลัดเหนือ	"บริเวณ สนามฟุตซอล บ้านยาง น้ำกลัดเหนือ อยู่ในพื้นที่รอยต่อเชิงเขากับพื้นที่ราบของ ต.ยางน้ำกลัดเหนือ อ.หนองหญ้าปล้อง โดยพื้นที่ภูเขาและเชิงเขาด้านตะวันตกของลุ่มน้ำเพชรบุรี รับน้ำจากแนวเทือกเขาตะนาวศรี ลักษณะพื้นที่ทำให้ปริมาณฝนสัมพันธ์โดยตรงกับการเกิดฝนตกหนัก น้ำท่วมขัง และน้ำหลาก

จากลักษณะทางกายภาพและความเสี่ยงของพื้นที่ที่อธิบายข้างต้น จึงมีความเหมาะสมในการติดตั้งสถานีวัดฝน เพื่อเฝ้าระวังปริมาณฝนเฉพาะพื้นที่ ติดตามฝนสะสม สนับสนุนการประเมินสถานการณ์ และการแจ้งเตือนภัยสำหรับชุมชนและพื้นที่ใกล้เคียง ทั้งนี้ควรใช้ข้อมูลภัยพิบัติหรือข้อมูลพื้นที่เพิ่มเติมประกอบการพิจารณาในส่วนของหมู่บ้าน"
ตึกสำนักงานป้องกันภัย (อาคารใหม่) หลังศูนย์ราชการ	"จากลักษณะพื้นที่ของ ต.บางริ้น อ.เมืองระนอง จุดนี้อยู่ในพื้นที่รอยต่อเชิงเขากับพื้นที่ราบ โดยพื้นที่เมืองบริเวณเชิงเขาที่ลาดลงสู่ชายฝั่งอันดามัน มีคลองและทางน้ำย่อยรับน้ำจากพื้นที่สูงด้านตะวันออกก่อนระบายผ่านเขตชุมชน ทำให้มีความไวต่อเหตุการณ์ฝนหนักและฝนตกหนัก น้ำท่วมขัง และน้ำหลาก. ประกอบกับข้อมูลรายชื่อหมู่บ้านประกาศภัยระดับตำบลพบหมู่บ้านที่อยู่ในกลุ่มความเสี่ยงสูงหรือความเสี่ยงสูงมาก ได้แก่ บางกลาง  บางริ้น  ระนองพัฒนา  แพใหม่

จากลักษณะทางกายภาพและข้อมูลพื้นที่ที่มีการประกาศภัยดังกล่าว จึงมีความเหมาะสมในการติดตั้งสถานีวัดฝน เพื่อเฝ้าระวังปริมาณฝนเฉพาะพื้นที่ ติดตามฝนสะสม สนับสนุนการประเมินสถานการณ์ และการแจ้งเตือนภัยสำหรับชุมชนและพื้นที่ใกล้เคียง"
สำนักงานป้องกันและบรรเทาสาธารณภัยจังหวัดระนอง	"จากลักษณะพื้นที่ของ ต.บางริ้น อ.เมืองระนอง จุดนี้อยู่ในพื้นที่รอยต่อเชิงเขากับพื้นที่ราบ โดยพื้นที่เมืองบริเวณเชิงเขาที่ลาดลงสู่ชายฝั่งอันดามัน มีคลองและทางน้ำย่อยรับน้ำจากพื้นที่สูงด้านตะวันออกก่อนระบายผ่านเขตชุมชน ทำให้มีความไวต่อเหตุการณ์ฝนหนักและฝนตกหนัก น้ำท่วมขัง และน้ำหลาก. ประกอบกับข้อมูลรายชื่อหมู่บ้านประกาศภัยระดับตำบลพบหมู่บ้านที่อยู่ในกลุ่มความเสี่ยงสูงหรือความเสี่ยงสูงมาก ได้แก่ บางกลาง  บางริ้น  ระนองพัฒนา  แพใหม่

จากลักษณะทางกายภาพและข้อมูลพื้นที่ที่มีการประกาศภัยดังกล่าว จึงมีความเหมาะสมในการติดตั้งสถานีวัดฝน เพื่อเฝ้าระวังปริมาณฝนเฉพาะพื้นที่ ติดตามฝนสะสม สนับสนุนการประเมินสถานการณ์ และการแจ้งเตือนภัยสำหรับชุมชนและพื้นที่ใกล้เคียง"
โรงเรียนบ้านวังเบน	"จุดนี้เป็นแนวเฝ้าระวังของ ต.บ่อทอง อ.ทองแสนขัน เนื่องจากพื้นที่ราบเชิงเขาด้านตะวันออกของจังหวัด มีทางน้ำย่อยรับน้ำจากแนวภูเขาก่อนระบายสู่พื้นที่เกษตรและชุมชน เมื่อมีฝนตกต่อเนื่องอาจเกิดฝนตกหนัก น้ำป่าไหลหลาก และน้ำท่วมฉับพลัน. ประกอบกับข้อมูลรายชื่อหมู่บ้านประกาศภัยระดับตำบลพบหมู่บ้านที่อยู่ในกลุ่มความเสี่ยงสูงหรือความเสี่ยงสูงมาก ได้แก่ น้ำลอก  ปางค้อ  แสนขัน

จากลักษณะทางกายภาพและข้อมูลพื้นที่ที่มีการประกาศภัยดังกล่าว จึงมีความเหมาะสมในการติดตั้งสถานีวัดฝน เพื่อเฝ้าระวังปริมาณฝนเฉพาะพื้นที่ ติดตามฝนสะสม สนับสนุนการประเมินสถานการณ์ และการแจ้งเตือนภัยสำหรับชุมชนและพื้นที่ใกล้เคียง"
ศาลาบ้านท่าช้าง หมู่ 6	"พื้นที่บ้านท่าช้าง ต.จริม อ.ท่าปลา อยู่ในเขตต้นน้ำและหุบเขาที่เชื่อมกับคลองสิงห์ในลุ่มน้ำน่าน โดยมีลำห้วยจากพื้นที่สูง เช่น ลำห้วยรกช้าง รับน้ำฝนก่อนรวมเข้าสู่คลองสิงห์และไหลต่อไปยังแม่น้ำน่าน ลักษณะภูมิประเทศทำให้น้ำตอบสนองต่อฝนหนักได้รวดเร็ว จึงต้องเฝ้าระวังฝนตกหนัก น้ำป่าไหลหลาก และน้ำท่วมฉับพลันตามแนวลำห้วยและพื้นที่ชุมชนด้านล่าง. ประกอบกับข้อมูลรายชื่อหมู่บ้านประกาศภัยระดับตำบลพบหมู่บ้านที่อยู่ในกลุ่มความเสี่ยงสูงหรือความเสี่ยงสูงมาก ได้แก่ เลิศชัย  เนินสูง  ชัยมงคล  จริม

จากลักษณะทางกายภาพและข้อมูลพื้นที่ที่มีการประกาศภัยดังกล่าว จึงมีความเหมาะสมในการติดตั้งสถานีวัดฝน เพื่อเฝ้าระวังปริมาณฝนเฉพาะพื้นที่ ติดตามฝนสะสม สนับสนุนการประเมินสถานการณ์ และการแจ้งเตือนภัยสำหรับชุมชนและพื้นที่ใกล้เคียง"
ศาลาประชาคมบ้านผาลาด	"พื้นที่ ต.น้ำหมัน อ.ท่าปลา บริเวณจุดติดตั้งมีลักษณะเป็นพื้นที่หุบเขาและแนวรับน้ำจากพื้นที่สูง โดยพื้นที่ภูเขาและหุบเขาที่เชื่อมกับระบบแม่น้ำน่านและอ่างเก็บน้ำสิริกิติ์ มีทางน้ำสาขาหลายสายจากพื้นที่สูง ส่งผลให้พื้นที่ตอบสนองต่อฝนหนักและมีโอกาสเกิดฝนตกหนัก น้ำป่าไหลหลาก และน้ำท่วมฉับพลัน. ประกอบกับข้อมูลรายชื่อหมู่บ้านประกาศภัยระดับตำบลพบหมู่บ้านที่อยู่ในกลุ่มความเสี่ยงสูงหรือความเสี่ยงสูงมาก ได้แก่ ปางหมิ่น  นาต้นโพธิ์  น้ำหมันใต้  น้ำต๊ะ

จากลักษณะทางกายภาพและข้อมูลพื้นที่ที่มีการประกาศภัยดังกล่าว จึงมีความเหมาะสมในการติดตั้งสถานีวัดฝน เพื่อเฝ้าระวังปริมาณฝนเฉพาะพื้นที่ ติดตามฝนสะสม สนับสนุนการประเมินสถานการณ์ และการแจ้งเตือนภัยสำหรับชุมชนและพื้นที่ใกล้เคียง"
ศาลาอเนกประสงค์บ้านปางไฮ	"บริเวณบ้านปางไฮ ต.บ่อเบี้ย อ.บ้านโคก เป็นพื้นที่ภูเขาตอนบนของลุ่มน้ำปาดในระบบลุ่มน้ำน่าน มีลำห้วยเลารับน้ำจากแนวเขาและพื้นที่สูงของตำบลก่อนระบายลงไปรวมกับลำน้ำปาด เมื่อมีฝนตกหนัก น้ำสามารถรวมตัวและเพิ่มระดับได้รวดเร็วตามลำห้วย ทำให้เสี่ยงต่อน้ำป่าไหลหลาก น้ำท่วมฉับพลัน และดินถล่มในพื้นที่ลาดชัน โดยมวลน้ำจะเคลื่อนจากพื้นที่ตอนบนผ่านลำห้วยเลาเข้าสู่ลำน้ำปาดและพื้นที่อำเภอฟากท่าด้านท้ายน้ำ. ประกอบกับข้อมูลรายชื่อหมู่บ้านประกาศภัยระดับตำบลพบหมู่บ้านที่อยู่ในกลุ่มความเสี่ยงสูงหรือความเสี่ยงสูงมาก ได้แก่ ภูต่าง

จากลักษณะทางกายภาพและข้อมูลพื้นที่ที่มีการประกาศภัยดังกล่าว จึงมีความเหมาะสมในการติดตั้งสถานีวัดฝน เพื่อเฝ้าระวังปริมาณฝนเฉพาะพื้นที่ ติดตามฝนสะสม สนับสนุนการประเมินสถานการณ์ และการแจ้งเตือนภัยสำหรับชุมชนและพื้นที่ใกล้เคียง"
